Species;Blength;Bwidth;Bdepth;Tlength;Wlength
difficilis;12.8;7.1;7.5;21.9;62
difficilis;12.4;6.4;7.6;20.5;59
difficilis;12.3;6.6;7.6;20.3;60
difficilis;12.2;6.5;7.7;20.7;62
difficilis;11.7;6.6;7;19.2;60
difficilis;12.4;6.4;7.2;20.9;60
difficilis;13.8;6.7;7.4;20.9;65
difficilis;12;6.6;7.3;20;60
difficilis;9.7;5.6;6.7;18.5;60
difficilis;9.3;6;6.5;18.6;60
difficilis;9.2;6.1;6.8;19.3;58
difficilis;9.1;6.6;6.4;19.8;59
difficilis;9.3;5.8;6.5;20;60
difficilis;10.1;6.4;6.5;19.9;61
difficilis;10.1;6;6.5;18.7;59
difficilis;9.8;6.3;7.2;20.2;62
difficilis;9.4;6.1;6.6;20.3;60
difficilis;9.3;5.5;6.4;19;59
difficilis;9.6;6.1;6.7;19.4;60
difficilis;9.5;6.3;6.9;19.5;62
difficilis;9.4;6.2;6.6;20.3;63
difficilis;9.3;6;6.8;19.3;62
difficilis;9.3;6.3;6.8;20.3;61
difficilis;9.8;6.1;6.4;19.2;62
difficilis;9.7;5.8;6.2;19.8;61
difficilis;9.6;5.6;6.2;19.3;61
difficilis;9;5.9;6.2;18.1;60
difficilis;10;6.6;7.4;19.7;64
difficilis;9.8;6.3;6.8;19.7;58
difficilis;8.8;6.6;6.6;18;63
difficilis;8.3;5.9;6.7;18.1;59
difficilis;9.4;6.2;6.7;19.7;60
difficilis;8.7;5.5;6.3;19.4;59
difficilis;9.1;6.4;6.8;19.8;62
difficilis;9.4;6.1;6.5;19.7;60
difficilis;8.9;6.1;6.7;19.5;61
difficilis;9.1;5.9;6.2;19;59
difficilis;9.3;5.9;6.6;18.9;62
difficilis;11.8;6.1;6.7;18.9;63
difficilis;10.3;4.7;7;19.1;63
difficilis;10.4;6.6;7.5;21.5;63
fortis;12.4;8.8;11.7;22.1;73
fortis;11.5;6.6;10.7;20;68
fortis;11.8;7;10.2;20.7;70
fortis;12.8;10;12;21.7;73
fortis;11.2;9.1;10.2;20.5;80
fortis;11.2;9.1;10.2;20.5;80
fortis;11.2;10;11.1;20.7;84
fortis;10.1;8.9;9.7;21.2;82
fortis;12.9;9.5;11.4;23;72
fortis;12.8;8.8;11.2;22.2;69
fortis;14.1;9.3;11.6;22.1;73
fortis;16.2;11;13.7;22.6;75
fuliginosa;9;5.9;7.6;20.8;64
fuliginosa;7.9;4.5;6.1;19.9;58.5
fuliginosa;8.2;4.2;6.3;18.1;60
fuliginosa;8.3;4.7;6.5;18;64
fuliginosa;8.7;4.9;6.7;19;64
fuliginosa;8.6;6.4;7.3;21;65
fuliginosa;8.8;6.1;6.7;18;60
fuliginosa;9.8;6.2;7.4;20;60
fuliginosa;8.9;5.8;6.4;19.6;61
fuliginosa;10.7;6.7;7.3;20.5;65
fuliginosa;10.1;6.6;7.2;19.4;61
fuliginosa;10.9;6.5;7.6;20.2;65
fuliginosa;9.2;5.7;6.7;20.1;62
fuliginosa;8.4;6.7;7.3;19.7;66
fuliginosa;7.8;5.9;6.7;19.2;64
fuliginosa;8.3;6.1;6.8;18.9;66
magnirostris;16.2;11.4;16.4;24;79
magnirostris;16;11.8;17.2;25.5;82
magnirostris;15.9;12.4;17.8;25.2;88
magnirostris;16.1;11.2;16.7;24;89
magnirostris;16.4;12.6;17.9;23.9;80
magnirostris;17;13.5;16.9;25.9;83
magnirostris;16.6;13.7;18;25.3;81
magnirostris;16.9;14.9;17.6;26.1;87
magnirostris;17.6;14.1;17.5;27.9;89
magnirostris;22.2;14.9;20;24.5;83
magnirostris;23.5;15.5;21.3;26.7;85
magnirostris;21;14.8;19.4;27.5;81
propinqua;16.7;8.9;11.3;23.5;75
propinqua;15.4;10.1;11.6;25.5;76
propinqua;14;9.2;10.8;23;80
propinqua;14;9.5;11;24.8;71
propinqua;14.2;8.9;10.9;24.6;76
propinqua;15.9;9.9;11;24.7;80
propinqua;19.3;10.2;12.8;23.5;79
propinqua;19.5;11.1;14;25.2;77
propinqua;16.1;6;9.8;24.6;74
propinqua;14.2;6.2;10.1;24.1;75
scandens;13;5.2;7.3;21.5;70
scandens;14.1;5.2;8.2;22.3;68
scandens;12.3;5.4;7;21.1;65
scandens;10.7;5.1;7.1;22.8;69
scandens;14.1;7.9;7.8;22.4;81
scandens;13.9;8.4;8.8;22.7;74
scandens;12.6;8;8.4;21;80
scandens;13.9;8.1;8.8;22.5;75
scandens;14.8;8.5;9.2;23.4;76
scandens;14.3;7.3;8.6;21.3;70
scandens;18.4;8.5;9.3;23.3;74
scandens;17.5;7.7;8.1;21.4;69
scandens;17.2;7.6;8.3;21.6;70
septentrionalis;11.4;7;8;24.4;75
septentrionalis;12.4;6.2;7.2;22.3;69
septentrionalis;12.4;7;8;21.9;69
septentrionalis;12.1;6.4;7.5;21.1;70
septentrionalis;12.7;6.7;7.3;22.5;72
septentrionalis;13;6.2;7.2;22.6;71
septentrionalis;13.2;6.8;7.9;22.5;73
septentrionalis;13.3;6.8;7.7;23.3;71
septentrionalis;13.3;7;7.6;22.4;74
septentrionalis;12.2;6.5;7.3;23.3;70
septentrionalis;12.8;6.9;7.7;22.5;72
septentrionalis;10.9;7.1;7.5;24.4;75
septentrionalis;12.6;6.6;7.5;22.7;74
septentrionalis;13.2;7;7.9;23;75
septentrionalis;10.7;7.2;7.8;21;70
septentrionalis;11.4;6.6;7.4;23.4;69
septentrionalis;11.3;6.7;7.6;24.5;74
septentrionalis;11;6.8;7.6;23.1;67
septentrionalis;11.3;7.3;8;24.4;73
septentrionalis;11.4;7;7.8;24.3;73
septentrionalis;11.2;6.8;7.1;23.1;71
septentrionalis;10.9;6.7;7.8;23;72
septentrionalis;10.7;6.8;7.6;24.2;70
septentrionalis;11.8;7.3;8.1;25.3;77
septentrionalis;11.1;7.1;7.6;24.5;75
septentrionalis;11.7;7.6;8.2;23.6;75
septentrionalis;11.1;7.6;8.4;25.6;71
septentrionalis;10.6;6.7;7.7;23.3;71
septentrionalis;11;7.4;8.1;25.1;76
septentrionalis;11.4;6.4;7.7;23.6;74
